,CustomerID,R,F,M,Recency,Frequency,Monetary,TotalRFM,Cluster
0,12346.0,1,1,5,326,1,77183.6,7,2
1,18113.0,1,1,1,369,1,76.32000000000001,3,0
2,15118.0,2,1,1,134,1,244.8,4,0
3,13747.0,1,1,1,374,1,79.6,3,0
4,18133.0,1,1,4,212,1,931.4999999999999,6,0
5,16073.0,1,1,1,297,1,122.39999999999999,3,0
6,16078.0,1,1,1,284,1,79.2,3,0
7,16093.0,2,1,1,107,1,17.0,4,0
8,16144.0,1,1,1,247,1,175.2,3,0
9,17846.0,2,1,4,85,1,2033.1,7,0
10,15070.0,1,1,1,373,1,106.2,3,0
11,13703.0,1,1,1,318,1,99.5,3,0
12,14424.0,4,1,2,18,1,322.08,7,0
13,17763.0,1,1,1,263,1,15.0,3,0
14,17752.0,1,1,1,359,1,80.64,3,0
15,17747.0,2,1,1,113,1,71.4,4,0
16,16257.0,2,1,1,177,1,21.95,4,0
17,18184.0,4,1,1,15,1,49.8,6,0
18,17715.0,1,1,2,201,1,326.4,4,0
19,16148.0,1,1,1,296,1,76.32000000000001,3,0
20,17347.0,2,1,1,86,1,228.96,4,0
21,15940.0,1,1,1,311,1,35.8,3,0
22,14351.0,2,1,1,165,1,51.0,4,0
23,15313.0,2,1,1,110,1,52.0,4,0
24,15389.0,2,1,3,172,1,500.0,6,0
25,17986.0,3,1,1,56,1,20.8,5,0
26,15510.0,1,1,2,331,1,250.0,4,0
27,14090.0,1,1,1,325,1,76.32000000000001,3,0
28,17956.0,1,1,1,249,1,12.75,3,0
29,15524.0,4,1,2,25,1,440.0,7,0
30,17948.0,2,1,2,147,1,358.56000000000006,5,0
31,18068.0,1,1,1,289,1,101.69999999999999,3,0
32,15562.0,1,1,1,352,1,134.55,3,0
33,18084.0,4,1,1,16,1,90.47999999999999,6,0
34,17925.0,1,1,1,373,1,244.08,3,0
35,15195.0,5,1,5,3,1,3861.0,11,0
36,15657.0,4,1,1,23,1,30.0,6,0
